4905.77001953   4731.77001953   5394.90039062
4929.07031250   4749.27001953   5395.40039062
4945.74023438   4764.33007812   5409.10058594
4950.66015625   4760.51025391   5439.60058594
4947.10009766   4743.85009766   5461.90039062
4934.41015625   4720.47998047   5458.70019531
4912.43994141   4707.49023438   5453.50000000
4913.41015625   4726.79003906   5473.60058594
4925.82031250   4748.20996094   5479.40039062
4914.83007812   4748.66992188   5454.10058594
4899.83007812   4768.57031250   5444.00000000
4891.62988281   4783.87011719   5427.40039062
4907.25976562   4774.55029297   5407.30078125
4920.54980469   4783.37011719   5387.20019531
4909.53027344   4772.05029297   5363.30078125
4915.18994141   4782.22998047   5340.80078125
4904.14013672   4760.16015625   5333.80078125
4893.04980469   4775.03027344   5316.60058594
4867.99023438   4783.41992188   5328.40039062
4841.35009766   4772.87011719   5337.60058594
4814.99023438   4783.45996094   5339.70019531
4811.45019531   4795.57031250   5362.50000000
4807.57031250   4821.87011719   5365.90039062
4782.00000000   4806.70019531   5373.00000000
4766.14990234   4793.70019531   5355.00000000
4744.06005859   4776.30029297   5361.50000000
4721.37011719   4774.72021484   5374.40039062
4728.64990234   4783.72998047   5397.60058594
4721.54980469   4785.29003906   5423.50000000
4718.46972656   4792.24023438   5451.40039062
4712.16015625   4815.31005859   5465.80078125
4700.77001953   4834.14990234   5483.10058594
4715.28027344   4854.57031250   5485.20019531
4717.18994141   4871.99023438   5463.00000000
4717.62988281   4882.08007812   5437.10058594
4733.71972656   4861.62988281   5440.30078125
4723.14990234   4865.12011719   5414.50000000
4709.04003906   4872.05029297   5387.50000000
4703.54980469   4896.99023438   5395.10058594
4708.41015625   4908.27001953   5371.80078125
4687.31005859   4924.37011719   5382.60058594
4671.21972656   4911.16015625   5366.20019531
4661.18994141   4897.75000000   5342.00000000
4649.12988281   4875.64990234   5352.30078125
4672.68994141   4879.76025391   5355.80078125
4697.14990234   4882.06005859   5365.20019531
4720.33984375   4893.79003906   5355.80078125
4718.54003906   4906.37011719   5331.50000000
4732.04003906   4928.68994141   5327.00000000
4721.02001953   4950.30029297   5318.50000000
4719.16992188   4968.35986328   5296.30078125
4735.20019531   4988.43994141   5288.70019531
4745.66015625   4996.14013672   5310.20019531
4759.70019531   5012.68994141   5329.50000000
4778.64013672   5031.29003906   5342.00000000
4768.07031250   5012.16015625   5361.90039062
4759.16015625   4987.72021484   5352.30078125
4734.16992188   4986.68994141   5360.80078125
4709.00976562   4992.47021484   5371.00000000
4693.08984375   4985.33007812   5350.40039062
4682.31005859   4998.07031250   5368.80078125
4663.24023438   4992.12988281   5387.20019531
4635.93017578   4991.31005859   5382.80078125
4607.83007812   4984.74023438   5383.80078125
4589.04003906   4965.74023438   5384.00000000
4572.46972656   4963.53027344   5367.10058594
4556.60986328   4958.60009766   5389.90039062
4542.57031250   4933.37011719   5384.80078125
4535.31005859   4950.49023438   5406.30078125
4509.89013672   4950.82031250   5409.00000000
4503.99023438   4950.78027344   5383.60058594
4478.45996094   4952.89013672   5369.50000000
4483.54980469   4955.78027344   5339.50000000
4495.39990234   4941.91015625   5320.40039062
4495.66015625   4941.64013672   5295.70019531
4472.96972656   4952.49023438   5291.30078125
4460.53027344   4957.66015625   5269.10058594
4442.91015625   4968.35986328   5257.80078125
4443.68994141   4993.43017578   5265.10058594
4469.85009766   4991.06005859   5258.70019531
4461.39013672   5012.84033203   5246.60058594
4465.20019531   5039.77001953   5254.00000000
4487.04980469   5051.93017578   5261.30078125
4508.04003906   5067.84033203   5263.20019531
4527.97998047   5064.97998047   5278.10058594
4546.16992188   5062.78027344   5297.40039062
4548.70019531   5075.00000000   5321.10058594
4571.14013672   5059.09033203   5317.00000000
4584.47998047   5071.20996094   5334.80078125
4595.25976562   5087.14990234   5357.40039062
4608.83984375   5088.07031250   5377.90039062
4628.64990234   5094.07031250   5396.30078125
4650.06005859   5082.70019531   5409.60058594
4662.00976562   5060.02001953   5415.00000000
4685.37011719   5072.89990234   5404.20019531
4685.35009766   5052.60986328   5386.50000000
4673.70996094   5062.83007812   5367.00000000
4679.20996094   5088.37988281   5360.70019531
